gvkey,tic,cusip,conm,cik
179969,TBT,74347B201,PROSHARES ULT SHRT 20 PL,
179974,HCI,40416E103,HCI GROUP INC,1400810
180012,WTRNF,95942C104,WESTERN RESOURCES CORP,1561476
180016,MRC,55345K103,MRC GLOBAL INC,1439095
180019,ALXEF,00165X108,ALX RESOURCES CORP,1603519
180032,RDOG,00162Q106,ALPS REIT DIVIDEND DOGS ETF,
180048,RWO,78463X749,SPDR DOW JONES GLBL RL EST,
180057,IOVA,462260100,IOVANCE BIOTHERAPEUTICS INC,1425205
180079,CYB,97717W182,WISDOMTREE CHINESE YUAN STRT,
180080,BZF,97717W240,WISDOMTREE BRZ REAL STRAT FD,
180081,SII,852066208,SPROTT INC,1512920
180083,LOPE,38526M106,GRAND CANYON EDUCATION INC,1434588
180100,EWX,78463X756,SPDR S&P EMRG MARKETS SM CAP,
180109,MLVF,561409103,MALVERN BANCORP INC,1550603
180112,SB,Y7388L103,SAFE BULKERS INC,1434754
180118,SGLY,82935V307,SINGULARITY FUTURE TECH LTD,1422892
180145,FLSS,345143200,FORBES ENERGY SERVICES LTD,1434842
180146,TOMZ,890023203,TOMI ENVIRONMENTAL SOLUTINS,314227
180157,GLTC,368537106,GELTECH SOLUTIONS INC,1403676
180169,BKJ,059915108,BANCORP OF NEW JERSEY INC,1390312
180183,HBCP,43689E107,HOME BANCORP INC,1436425
180193,OCSL,67401P405,OAKTREE SPECIALTY LENDING CP,1414932
180194,AIKO,02155W207,ALTERNATIVE INVESTMENT CORP,1405660
180198,PNQI,46137V530,INVESCO NASDAQ INTERNET ETF,
180209,FRN,46138E776,INVESCO FRONTIER MARKETS ETF,
180220,SEF,74347B185,PROSHARES SHORT FINANCIALS,
180221,DDG,74347R222,PROSHARES SHORT OIL & GAS,
180228,IVR,46131B704,INVESCO MORTGAGE CAPITAL INC,1437071
180229,MG,60649T107,MISTRAS GROUP INC,1436126
180249,HPJ,43113X101,HIGHPOWER INTERNATIONAL INC,1368308
180256,NNA,Y62159143,NAVIOS MARITIME ACQUISITION,1437260
